_id,index,description,budget,state,city,squareFeet,floor,furnishing,bedrooms,balcony,propertyType,facing,address
67a8a66ef75daf5b3172934a,1,"Bhiwandi, Thane has an attractive 1 BHK Flat for sale. The property is ideally located in a strategic location in Srushti Siddhi Mangal Murti Complex township. This flat for resale is a choice property. This apartment ready to move in the Bhiwandi is available for an attractive price of INR 42 Lac. You will find it unfurnished.",2500000,Maharastra,thane,530sqft,1outof3,Unfurnished,1,1,villa,,
67a8a66ef75daf5b3172934b,2,"One can find this stunning 2 BHK flat for sale in Pokhran Road, Thane. It enjoys an excellent location within the Dosti Vihar. This flat for resale is a choice property. This ready to move flat in Pokhran Road can be availed at a reasonable price of INR 98 Lac. This semi-furnished flat is strategically designed with all the amenities to enhance the living experience. The property is strategically placed near prominent places as near singhaniya school which make for the smooth living of residents.",16000005,Maharastra,thane,550sqft,4outof5,Semi-Furnished,1,,house,,
67a8a66ef75daf5b3172934c,3,"Up for immediate sale is a 2 BHK apartment in Kolshet Road, Thane. Don't miss this bargain flat for sale. Situated in the Sunrise By Kalpataru township, it has a prime location. This flat for resale has a desirable location. You can buy this ready to move flat in Kolshet Road at a reasonable price of INR 1.40 Cr. This unfurnished flat is strategically designed with all the amenities to enhance the living experience. Landmarks near the apartment include pokhran road no 2.",1000006,Maharastra,thane,900sqft,3outof27,Unfurnished,3,1,villa,East,PridePalms
67a8a66ef75daf5b3172934d,4,"This beautiful 1 BHK Flat is available for sale in Kasheli, Thane. This flat for resale has a desirable location. This ready to move flat is offered at an economical price of INR 25 Lac. You will find it unfurnished.",4200000,Maharastra,thane,473sqft,5outof5,Unfurnished,1,,house,,
67a8a66ef75daf5b3172934e,5,"This lovely 2 BHK Flat in Pokhran Road, Thane is up for sale. This flat is situated in the Tenx Habitat Raymond Realty township and is equipped with premium facilities. This flat is an attractive property for resale. You can buy this ready to move flat in Pokhran Road at a reasonable price of INR 1.60 Cr. You will find it unfurnished. Some of the landmarks in the vicinity include pokhran road 2.",2400000,Maharastra,thane,288sqft,3outof8,Unfurnished,1,1,house,,XrbiaWarai
67a8a66ef75daf5b3172934f,6,"Creatively planned and constructed is a 1 BHK flat for sale in Titwala, Thane. It is housed in the well-planned Virat Aangan township in an advantageous location. This flat is available as a resale property. You can buy this ready to move flat in Titwala at a reasonable price of INR 45 Lac. The flat is uniquely designed to enhance the living style. It is unfurnished, studded with all the basic facilities.",6100000,Maharastra,thane,500sqft,11outof17,Unfurnished,1,,house,,
67a8a66ef75daf5b31729350,7,"This magnificent 1 BHK Flat is available for sale in Mumbra, Thane. This premium flat is available for resale at an unbelievable price, so, grab it before it's gone! Located in Mumbra, this ready to move apartment is sold at a fair selling price of INR 16.5 Lac. The spacious apartment is unfurnished.",10000075,Maharastra,thane,925sqft,8outof20,Unfurnished,3,3,farmhouse,East,Pa00000iaKingstonPhase2
67a8a66ef75daf5b31729351,8,"Creatively planned and constructed is a 1 BHK flat for sale in Kalwa, Thane. This flat is an attractive property for resale. This ready to move flat located in Kalwa is available for purchase at a fair price of INR 60 Lac. This furnished flat is strategically designed with all the amenities to enhance the living experience.",10000007,Maharastra,navi-mumbai,650sqft,13outof13,Furnished,2,2,house,East,TricityLuxuria
67a8a66ef75daf5b31729352,9,"Discover this immaculate 1 BHK flat for sale at the pristine Kalwa in Thane. This apartment is a property of choice for resale. This ready to move flat is offered at an economical price of INR 60 Lac. This contemporary apartment is furnished. Some of the landmarks in the vicinity include the property is a 1 bhk flat located at manisha nagar heart of thane.::::centralized location near thane and new mumbai. near swimming pool,hotel, collage and school, market,hospital.",9000000,Maharastra,navi-mumbai,500sqft,2outof7,Furnished,2,,house,,BasantBaharApartment
67a8a66ef75daf5b31729353,10,"One can find this stunning 3 BHK flat for sale in Kolshet, Thane. Ideally situated in the Pride Palms township it enjoys a prime location. This flat for resale is the perfect property for you! This ready to move flat located in Kolshet is available for purchase at a fair price of INR 1.60 Cr. The spacious apartment is unfurnished. This 3 BHK flat boasts of being in close proximity to significant landmarks like kalpataru that enhance the overall living experience.",30000085,Maharastra,navi-mumbai,1175sqft,Groundoutof14,Unfurnished,3,2,mixedusebuilding,West,L&TSeawoodsResidences
67a8a66ef75daf5b31729354,11,"Up for immediate sale is a 3 BHK apartment in Manpada Thane West, Thane. Don't miss this bargain flat for sale. It is in a prime location within the Cosmos Lounge. Invest your valuable money in this flat that is for resale. This ready to move flat in Manpada Thane West can be taken at a very economical pricing of INR 1.40 Cr. You will find it semi-furnished. Some nearby landmarks are manpada.",10000045,Maharastra,navi-mumbai,1350sqft,15outof30,Semi-Furnished,3,3,house,North-East,SaiSpring
67a8a66ef75daf5b31729355,12,"2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)",1000000,Maharastra,navi-mumbai,335sqft,3outof5,Semi-Furnished,2,1,house,,
67a8a66ef75daf5b31729356,13,"2 BHK, Multistorey Apartment is available for Sale in Kolshet Road, Thane for 1.3 Crore(s)",10000065,Maharastra,navi-mumbai,740sqft,,Semi-Furnished,2,2,house,East,BhagwatiGreens2
67a8a66ef75daf5b31729357,14,"Creatively planned and constructed is a 4 BHK flat for sale in Hiranandani Estate, Thane. This flat is an attractive property for resale. This ready to move flat in Hiranandani Estate comes at an affordable price of INR 4.25 Cr. It is a semi-furnished apartment. The property is constructed with proximity to major landmarks like near hiranandani estate.",32000005,Maharastra,navi-mumbai,273sqft,1outof8,Semi-Furnished,1,,apartmentblock,,ChinmayGaurang
